threshold,min_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp
0.4,1,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.4,2,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.4,3,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.4,4,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.4,5,151,0.9735099337748344,0.0,0.0,0.0,1.0,0.0,147,0,4,0
0.4,6,151,0.9735099337748344,0.0,0.0,0.0,1.0,0.0,147,0,4,0
0.4,7,151,0.9735099337748344,0.0,0.0,0.0,1.0,0.0,147,0,4,0
0.4,8,151,0.9735099337748344,0.0,0.0,0.0,1.0,0.0,147,0,4,0
0.43,1,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.43,2,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.43,3,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.43,4,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.43,5,151,0.9735099337748344,0.0,0.0,0.0,1.0,0.0,147,0,4,0
0.43,6,151,0.9735099337748344,0.0,0.0,0.0,1.0,0.0,147,0,4,0
0.43,7,151,0.9735099337748344,0.0,0.0,0.0,1.0,0.0,147,0,4,0
0.43,8,151,0.9735099337748344,0.0,0.0,0.0,1.0,0.0,147,0,4,0
0.45,1,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.45,2,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.45,3,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.45,4,151,1.0,1.0,1.0,1.0,1.0,0.0,147,0,0,4
0.45,5,151,0.9735099337748344,0.0,0.0,0.0,1.0,0.0,147,0,4,0
0.45,6,151,0.9735099337748344,0.0,0.0,0.0,1.0,0.0,147,0,4,0
0.45,7,151,0.9735099337748344,0.0,0.0,0.0,1.0,0.0,147,0,4,0
